id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,Serviced apartment in San Francisco · ★4.87 · 1 bedroom · 2 beds · 1 bath,1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,204,2,393,2023-04-28,2.33,1,94,53,City Registration Pending
5858,Rental unit in San Francisco · ★4.88 · 2 bedrooms · 2 beds · 2 baths,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,2017-08-06,0.65,1,365,0,
468490,Condo in San Francisco · ★4.59 · 4 bedrooms · 4 beds · 2.5 baths,285168,Bill,,Russian Hill,37.80109,-122.41385,Entire home/apt,428,2,71,2023-05-28,0.61,1,203,17,STR-0000265
138592,Home in San Francisco · ★4.91 · 4 bedrooms · 4 beds · 2 baths,648553,Julie & Brad,,Noe Valley,37.75635,-122.42864,Entire home/apt,1236,5,34,2022-12-31,0.24,1,129,3,Pending Application
8142,Rental unit in San Francisco · ★4.67 · 1 bedroom · 1 bed · 4 shared baths,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,9,2022-10-27,0.08,14,333,1,
474107,Home in San Francisco · ★4.91 · 3 bedrooms · 4 beds · 1 shared bath,2318089,Inés,,Excelsior,37.72369,-122.42865,Private room,86,2,138,2023-05-31,1.93,2,30,30,
8339,Condo in San Francisco · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,480,5,28,2019-06-28,0.17,2,365,0,STR-0000264
487019,Rental unit in San Francisco · ★4.53 · 3 bedrooms · 4 beds · 2 baths,2410550,Cecile,,Potrero Hill,37.75622,-122.39821,Entire home/apt,255,5,33,2023-05-20,0.25,1,262,7,STR-0001599
142177,Condo in San Francisco · ★4.91 · 2 bedrooms · 2 beds · 1 bath,656263,Noreen,,Outer Richmond,37.7844,-122.47932,Entire home/apt,491,5,238,2023-04-24,1.68,1,79,11,STR-0002192
8739,Condo in San Francisco · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,131,1,782,2023-05-22,4.64,2,152,40,
10537,Place to stay in San Francisco · ★4.94 · 1 bedroom · 1 bed · 1.5 shared baths,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,95,1,19,2023-01-28,0.12,2,358,1,
144242,Home in San Francisco · ★4.86 · 3 bedrooms · 3 beds · 2 baths,699215,Kate,,Inner Richmond,37.78546,-122.46148,Entire home/apt,552,3,22,2022-01-02,0.15,1,25,0,2022-011317STR
487499,Rental unit in San Francisco · ★4.78 · 1 bedroom · 1 bed · 1 bath,1682183,Daniel,,Mission,37.75884,-122.42232,Entire home/apt,125,30,193,2023-04-17,1.45,1,233,4,
10578,Rental unit in San Francisco · ★4.93 · Studio · 1 bed · 1 bath,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,100,30,18,2015-05-17,0.13,1,297,0,
12041,Rental unit in San Francisco · ★4.0 · 1 bedroom · 2 beds · 3 shared baths,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,7,2022-06-11,0.05,14,365,1,
12042,Rental unit in San Francisco · ★3.20 · 1 bedroom · 2 beds · 3 shared baths,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.04,14,365,0,
490931,Rental unit in San Francisco · ★4.76 · 1 bedroom · 1 bed · 1 bath,1269188,Maureen,,Bernal Heights,37.74766,-122.42041,Private room,100,30,80,2022-11-26,0.72,1,330,1,
144978,Rental unit in San Francisco · ★4.68 · 1 bedroom · 1 bed,216682,Jay,,Pacific Heights,37.79233,-122.42431,Private room,57,30,121,2023-02-28,0.83,9,112,1,
